ffe8 001f // group 0 point0
fffa 0001 // group 0 point1
ffc4 0013 // group 0 point2
fff9 ffeb // group 0 point3
ffec 0016 // group 0 point4
0006 ffec // group 0 point5
ffd6 001e // group 0 point6
0028 000b // group 0 point7
ffdf ffe9 // group 0 point8
0006 0016 // group 0 point9
0010 0034 // group 0 point10
fff8 fffe // group 0 point11
ffdc 000a // group 0 point12
0012 fff2 // group 0 point13
0005 fff2 // group 0 point14
0023 ffe8 // group 0 point15
0013 fff1 // group 0 point16
ffd8 001b // group 0 point17
000f 001b // group 0 point18
fff4 0008 // group 0 point19
0035 fff0 // group 0 point20
0016 fffe // group 0 point21
fff6 fff4 // group 0 point22
ffde ffde // group 0 point23
ffe0 fffa // group 0 point24
ffe1 000c // group 0 point25
fffd fff7 // group 0 point26
000b ffe0 // group 0 point27
fffb fffa // group 0 point28
ffff 0035 // group 0 point29
fff8 000d // group 0 point30
0013 0010 // group 0 point31
fff3 0021 // group 0 point32
fff3 0000 // group 0 point33
000d ffe4 // group 0 point34
fffc 001b // group 0 point35
001c fffa // group 0 point36
0019 ffe5 // group 0 point37
ffed ffe8 // group 0 point38
0002 ffe8 // group 0 point39
fffc 0018 // group 0 point40
ffdf fff6 // group 0 point41
ffec ffe2 // group 0 point42
001b ffff // group 0 point43
000d 0026 // group 0 point44
fff2 0011 // group 0 point45
0012 000b // group 0 point46
000f fffa // group 0 point47
ffe2 0007 // group 0 point48
ffee 001f // group 0 point49
000c ffdc // group 0 point50
ffe5 ffea // group 0 point51
fffa 0001 // group 0 point52
001d 0015 // group 0 point53
0002 001a // group 0 point54
0014 ffe5 // group 0 point55
ffec 000d // group 0 point56
0014 ffec // group 0 point57
ffee 0029 // group 0 point58
fffc fff9 // group 0 point59
0015 0000 // group 0 point60
ffcc 0031 // group 0 point61
fff8 001d // group 0 point62
0003 0020 // group 0 point63
ffe7 001d // group 0 point64
fff6 fffd // group 0 point65
ffc9 0013 // group 0 point66
fff9 ffee // group 0 point67
ffea 0016 // group 0 point68
0003 ffee // group 0 point69
ffd7 0016 // group 0 point70
0026 0008 // group 0 point71
ffeb ffe5 // group 0 point72
000e 0010 // group 0 point73
0018 0032 // group 0 point74
fffb 0001 // group 0 point75
ffc9 000d // group 0 point76
000c fffc // group 0 point77
0010 fff4 // group 0 point78
0022 ffe4 // group 0 point79
002c fff1 // group 1 point0
fffe fffb // group 1 point1
002a 0003 // group 1 point2
0001 0010 // group 1 point3
0016 0014 // group 1 point4
fffc fff8 // group 1 point5
fffd 0007 // group 1 point6
ffe1 0007 // group 1 point7
0012 ffd7 // group 1 point8
ffd3 ffcd // group 1 point9
ffff 0000 // group 1 point10
